adi;resultado;entrada;decisao;tdecisao;compinicial;compfinal;req1;req2;autor1;autor2;relator;vencido;norma;competencia;tiponorma_ext;tiponorma;tipoproj;conversao;iniciativa;proponente1;proponente2;partidoprop1;dataprop;dataaprov;dif_aprov;coalizao;alterado;idcoalizao;governo
608;Improcedente;17/10/1991;31/05/2007;5705;1140002;1153002;PARTIDO SOCIALISTA BRASILEIRO - PSB;NA;109;NA;CARMEN LUCIA;0;LF 8177/91;Legislativo Federal;Lei Federal;LF;PLV;NA;2;FERNANDO COLLOR DE MELLO;ZELIA MARIA CARDOSO DE MELLO;PRN;31/01/1991;01/03/1991;29;1;1;4;Collor
639;Improcedente;14/11/1991;02/06/2005;4949;1140002;1152002;CONFEDERA��O NACIONAL DA IND�STRIA - CNI;NA;110;NA;JOAQUIM BARBOSA;0;LF 8213/91;Legislativo Federal;Lei Federal;LF;PL.;NA;2;ANTONIO MAGRI;ZELIA MARIA CARDOSO DE MELLO;PTB;08/05/1991;24/07/1991;77;1;1;5;Collor
1040;Improcedente;08/03/1994;11/11/2004;3901;1141001;1152002;PROCURADOR-GERAL DA REP�BLICA;NA;107;NA;NERI DA SILVEIRA;0;LC 75/93;Legislativo Federal;Lei Complementar;LC;PLP;NA;2;JOSE PAULO SEPULVEDA PERTENCE;;NA;28/03/1989;20/05/1993;1514;1;1;2;Sarney
1105;Procedente;02/08/1994;17/05/2006;4306;1141001;1153001;PROCURADOR-GERAL DA REP�BLICA;NA;107;NA;MARCO AURELIO;1;LF 8906/94;Legislativo Federal;Lei Federal;LF;PL.;NA;1;ULYSSES GUIMARAES;;PMDB;22/06/1992;04/07/1994;742;0;1;6;Collor
1127;Procedente em parte;06/09/1994;17/05/2006;4271;1141001;1153001;ASSOCIA��O DOS MAGISTRADOS BRASILEIROS - AMB;NA;111;NA;MARCO AURELIO;1;LF 8906/94;Legislativo Federal;Lei Federal;LF;PL.;NA;1;ULYSSES GUIMARAES;;PMDB;22/06/1992;04/07/1994;742;0;1;6;Collor
1194;Procedente em parte;24/01/1995;20/05/2009;5230;1141003;1154001;CONFEDERA��O NACIONAL DA IND�STRIA - CNI;NA;110;NA;MAURICIO CORREA;0;LF 8906/94;Legislativo Federal;Lei Federal;LF;PL.;NA;1;ULYSSES GUIMARAES;;PMDB;22/06/1992;04/07/1994;742;0;1;6;Collor
1231;Improcedente;22/02/1995;15/12/2005;3949;1141003;1152002;CONSELHO FEDERAL DA ORDEM DOS ADVOGADOS DO BRASIL;NA;108;NA;CARLOS VELLOSO;0;LF 8985/95;Legislativo Federal;Lei Federal;LF;PL.;NA;1;JACQUES SILVA;;PMDB;06/12/1994;07/02/1995;63;1;1;9;Itamar
1570;Procedente em parte;10/03/1997;12/02/2004;2530;1145002;1151002;PROCURADOR-GERAL DA REP�BLICA;NA;107;NA;MAURICIO CORREA;0;LF 9034/95;Legislativo Federal;Lei Federal;LF;PL.;NA;1;MICHEL TEMER;;PMDB;18/09/1989;03/05/1995;2053;1;1;2;Sarney
1571;Improcedente;10/03/1997;10/12/2003;2466;1145002;1151002;PROCURADOR-GERAL DA REP�BLICA;NA;107;NA;GILMAR MENDES;0;LF 9430/96;Legislativo Federal;Lei Federal;LF;PL.;NA;2;MINISTRO DA FAZENDA;;NA;17/10/1996;27/12/1996;71;1;1;11;FHC
1770;Procedente;30/01/1998;11/10/2006;3176;1146001;1153002;PARTIDO DEMOCR�TICO TRABALHISTA - PDT;PARTIDO COMUNISTA DO BRASIL - PC DO B;109;109;JOAQUIM BARBOSA;0;LF 9528/97;Legislativo Federal;Lei Federal;LF;PLV;NA;2;FERNANDO HENRIQUE CARDOSO;REINHOLD STEPHANES;PSDB;10/11/1997;10/12/1997;30;1;1;11;FHC
